# rows 962
xG,yG,dxR,dyR,dxB,dyB,xG2,yG2,xG3,yG3
0.0518,0.9656,0.5746,-0.4943,-0.4506,-1.3306,0.00268,0.9323,0.000139,0.9002
0.0538,0.9263,0.4816,-0.3880,-0.6887,-1.1001,0.00289,0.8580,0.000155,0.7948
0.0557,0.8907,0.5647,-0.3713,-0.7396,-1.0764,0.00311,0.7934,0.000173,0.7067
0.0577,0.8518,0.5418,-0.3642,-0.7617,-1.0274,0.00333,0.7256,0.000192,0.6181
0.0594,0.8131,0.6458,-0.3302,-0.8803,-1.0163,0.00353,0.6611,0.000210,0.5375
0.0611,0.7745,0.5527,-0.2135,-0.9135,-1.0536,0.00373,0.5998,0.000228,0.4645
0.0629,0.7359,0.6600,-0.2445,-0.8157,-1.0783,0.00395,0.5416,0.000248,0.3985
0.0645,0.6977,0.6950,-0.1695,-0.9216,-0.9584,0.00416,0.4867,0.000269,0.3396
0.0662,0.6597,0.7160,-0.2145,-1.0301,-1.0373,0.00438,0.4351,0.000290,0.2870
0.0678,0.6219,0.8000,0.0287,-0.8585,-0.8744,0.00460,0.3867,0.000312,0.2405
0.0694,0.5843,0.8606,-0.0174,-0.9626,-0.9014,0.00482,0.3414,0.000334,0.1994
0.0710,0.5467,0.7036,-0.0261,-0.9517,-0.8869,0.00504,0.2989,0.000358,0.1634
0.0724,0.5093,0.6951,0.0240,-0.8979,-1.0418,0.00525,0.2594,0.000380,0.1321
0.0739,0.4719,0.6284,0.0700,-0.9439,-0.9391,0.00546,0.2227,0.000404,0.1051
0.0753,0.4347,0.7282,0.1706,-1.0347,-0.8709,0.00567,0.1890,0.000427,0.0822
0.0766,0.3976,0.6827,0.0425,-0.9390,-0.9380,0.00587,0.1581,0.000450,0.0629
0.0779,0.3607,0.6713,0.1486,-0.9788,-1.0469,0.00606,0.1301,0.000472,0.0469
0.0789,0.9659,0.5226,-0.4572,-0.7103,-1.2793,0.00623,0.9329,0.000492,0.9011
0.0790,0.3238,0.7337,0.2583,-0.9584,-1.0234,0.00624,0.1049,0.000493,0.0340
0.0802,0.2871,0.6717,0.1978,-0.9610,-0.9742,0.00643,0.0824,0.000516,0.0237
0.0808,0.9267,0.5859,-0.3678,-0.7263,-1.0946,0.00653,0.8587,0.000527,0.7957
0.0814,0.2503,0.6193,0.2287,-0.9125,-0.9127,0.00662,0.0627,0.000539,0.0157
0.0826,0.8911,0.5867,-0.3752,-0.7437,-1.1528,0.00682,0.7941,0.000564,0.7077
