Weight,Age,Height
85,143,56.3
112.5,191,62.5
94.5,160,62
123.5,157,64.5
107,191,65.3
85,141,61.8
101,185,63.3
140,210,65.5
110.5,149,64.3
99.5,169,62.3
102.5,173,62.8
94,150,61.3
93.5,144,59.5
109,146,60
107,155,61.3
102.5,183,64.5
114,154,60
105,152,60.5
84.5,148,60.5
98,164,65.3
81,177,61.3
112,183,66.5
133,182,65.5
67,165,55.5
84,163,56.5
84,171,63
115,193,59.8
85,169,61.5
105,155,62.3
112,171,62.5
68.5,140,53.8
93,149,58.3
78.5,150,59.5
81,140,53.5
103.5,166,61.5
83.5,146,56.3
96,139,57.5
142.5,177,61.8
89.5,166,59.3
108,184,62.3
112,177,61.3
91.5,145,59
92.5,167,62.3
106,185,60
75,156,54.5
113.5,191,63.3
113.5,189,64.3
112,157,60.5
91,171,61.5
116.5,143,61.5
91.5,182,62
122.5,154,61
72.5,141,56
93.5,167,61
85,141,61.3
86,175,60.3
108,153,63.3
104,185,59
104,139,61.5
50.5,143,51.3
115,147,61.3
83.5,164,58
93.5,175,60.8
90,170,64.3
95,186,57.8
118,185,65.3
95,168,61.5
63.5,139,52.8
148.5,178,63.5
75,147,55.8
109.5,183,64.3
77,148,56.3
73.5,144,55.8
140,190,66.8
77.5,143,58.3
101,147,59.5
142,172,64.8
98.5,179,63
72.5,142,56
74,150,54.5
64,147,51.5
111.5,182,64
108,164,63.3
110.5,180,61.3
92,161,59
69,142,56.5
103.5,178,61.5
89,145,58.8
114,180,63.3
112,176,61.3
112,180,59
84,162,58
121,197,61.5
104.5,182,58.3
98.5,169,62
84.5,147,59.8
112,197,64.8
84,145,57.8
84,143,55.5
111.5,147,58.3
93.5,154,62.8
77,140,60
117.5,178,66.5
95,148,59
98.5,190,56.8
83.5,186,57
106.5,165,61.3
144.5,155,66
116,210,62
92,144,61
108,186,63.5
105,157,60.5
87,139,60.5
90,146,57.5
117,151,66.3
84,153,60
118.5,176,65
83,146,57.3
81,151,61
133,193,66.3
75,143,57.5
112.5,173,69
88,144,59.5
84,147,57
84,150,59.5
86.5,140,58.5
112,184,66.5
111.5,168,66.5
117,203,66.5
147,200,71
91,145,56.5
133,182,67
111,177,63
98,150,59
112,171,61.8
87.5,142,56
89,144,60
150,193,72
73.5,139,55
98,196,64.5
79.5,153,57.8
112,164,66.5
87,151,59.3
76.5,144,57.3
128,189,67
84,160,60.5
84,141,53.3
134,206,68.3
94.5,140,59.5
105.5,183,66
94,144,62.8
119,162,64.5
92,175,64
112.5,170,63.8
106,156,66.3
112,188,67.3
127.5,193,67.8
92.5,156,58.3
114,156,68.5
81,149,52.5
84,142,58.8
105,152,59.5
101,143,57.5
112,173,66
112,177,60.5
118,150,61.8
91,162,63
118,148,60.5
171.5,206,69.5
134.5,194,65.3
112,186,66.5
84,164,58
80.5,155,57.3
114,189,65
84,150,59.5
111,183,64.8
112,156,61.8
99.5,150,59
171.5,250,67.5
105,185,66
84,140,56.5
78.5,160,59.3
95,164,60.5
112,175,68
108,174,66
92,149,57
100,169,62
80.5,157,58
108.5,156,61.5
84,144,57
70,142,55
112,189,66.3
119.5,174,69.8
117.5,163,65.3
91.5,155,61.8
114,175,65.5
115.5,188,63.3
85,141,57.5
83.5,140,56.8
112,159,63.3
97,152,60.8
75,161,56.8
99,159,62.8
102.5,178,63.5
140,164,61.5
98,165,64.8
128,150,60.8
79,147,50.5
93,173,61.3
95,164,57.8
98.5,176,63.8
104,180,61.8
86,151,58.3
119.5,178,67.3
112,186,66
98.5,175,63.5
108,164,63.5
117.5,144,60
112,172,65
93.5,168,60
121,158,65
81,176,61.5
140,188,71
150.5,188,65.8
84,166,62.5
121,166,67.3
105,162,60
91,166,62
112,163,66
112,174,63
116,160,64
72,149,56.3
71.5,146,55
128,153,64.8
112,178,63.8
76,142,55
107.5,167,62
